clusters,db_record_1,db_record_2,db_record_3,db_record_4,db_record_5,score_record_1,score_record_2,score_record_3,score_record_4,score_record_5
36,cycling basal cell trachea mouse,paneth cell intestinal crypt mouse,monocyte fetal kidney human,gonadal endothelial cell fetal gonad human,enteroendocrine precursor cell intestinal crypt mouse,10.4372222254267,9.36327330041494,9.35657604391303,9.25356863271059,9.23660007022882
37,monocyte fetal kidney human,microglial cell brain mouse,microglial cell embryonic prefrontal cortex human,cd1c-cd141- dendritic cell blood human,paneth cell large intestine human,10.0110120596068,9.71625329201516,9.3680551878063,9.15764205202811,8.96223783487955
38,schwalie et al.nature.g2 adipose tissue mouse,medullary cell kidney mouse,leydig precursor cell fetal gonad human,fibroblast skin mouse,schwalie et al.nature.g1 adipose tissue mouse,7.83346760154386,7.68790018275425,7.43167960598598,7.35871017538306,7.18424693621685
39,microglial cell brain mouse,monocyte fetal kidney human,microglial cell embryonic prefrontal cortex human,cd1c-cd141- dendritic cell blood human,paneth cell large intestine human,9.48666532158372,9.09978030299686,8.95625760659762,8.53448435809874,8.528635511323
40,paneth cell intestinal crypt mouse,gonadal endothelial cell fetal gonad human,plasmacytoid dendritic cell spleen mouse,monocyte spleen mouse,enteroendocrine precursor cell intestinal crypt mouse,8.67375969837626,8.49030221240706,8.4444025918033,8.3472588984111,8.32902529672047
41,monocyte fetal kidney human,paneth cell intestinal crypt mouse,enteroendocrine precursor cell intestinal crypt mouse,plasmacytoid dendritic cell spleen mouse,gonadal endothelial cell fetal gonad human,7.9422794546623,7.71814485474153,7.43910513997733,7.43350535290949,7.41037637113424
42,microglial cell brain mouse,monocyte fetal kidney human,microglial cell embryonic prefrontal cortex human,paneth cell intestinal crypt mouse,microglial cell brain human,9.98565532620607,9.54596880555708,9.44061379923123,9.07017575370676,9.04973430961027
43,paneth cell intestinal crypt mouse,microglial cell brain mouse,enteroendocrine precursor cell intestinal crypt mouse,plasmacytoid dendritic cell spleen mouse,schwalie et al.nature.g2 adipose tissue mouse,9.09102783619931,8.95878309485795,8.77668958972845,8.60306608487397,8.58113353710356
44,vascular endothelial cell kidney mouse,mesangial cell kidney mouse,gonadal endothelial cell fetal gonad human,schwalie et al.nature.g2 adipose tissue mouse,endothelial cell lung mouse,8.75481262513425,8.44786393809555,8.41303999493292,8.23524360818234,8.17535138948062
45,microglial cell brain mouse,monocyte fetal kidney human,microglial cell embryonic prefrontal cortex human,cd1c-cd141- dendritic cell blood human,paneth cell large intestine human,9.74579572001468,9.21718670039171,9.1445599308393,8.63312276078073,8.59576202547487
46,microglial cell brain mouse,microglial cell embryonic prefrontal cortex human,monocyte fetal kidney human,paneth cell large intestine human,cd1c-cd141- dendritic cell blood human,9.99009512104665,9.5060112684806,9.22996907365135,8.96985047803913,8.82789295625274
47,microglial cell brain mouse,monocyte fetal kidney human,microglial cell embryonic prefrontal cortex human,paneth cell large intestine human,microglial cell brain human,9.24008003686774,8.78663933917779,8.7859844155922,8.26615673382373,8.16562331524857
48,cycling basal cell trachea mouse,paneth cell intestinal crypt mouse,neural progenitor cell embryonic prefrontal cortex human,enteroendocrine precursor cell intestinal crypt mouse,gonadal endothelial cell fetal gonad human,9.92409368260628,8.90676590472687,8.86525082009869,8.70146012362448,8.62866036752112
49,mesangial cell kidney mouse,schwalie et al.nature.g2 adipose tissue mouse,fibrocartilage chondrocyte articular cartilage human,schwalie et al.nature.p2 adipose tissue mouse,smooth muscle cell brain mouse,8.52146255230473,8.38557269884888,7.96740482634643,7.88951077242574,7.76943284089026
50,monocyte fetal kidney human,paneth cell intestinal crypt mouse,microglial cell brain human,mitotic fetal germ cell fetal gonad human,plasmacytoid dendritic cell spleen mouse,9.29495783217695,8.51836823740846,8.47401750729646,8.21011580162186,8.19725526342717
51,microglial cell brain mouse,microglial cell embryonic prefrontal cortex human,monocyte fetal kidney human,cd1c-cd141- dendritic cell blood human,paneth cell large intestine human,10.3142472806858,9.55501899826642,9.46632296647675,9.2261541877278,9.17699458688727
52,monocyte fetal kidney human,paneth cell intestinal crypt mouse,enteroendocrine precursor cell intestinal crypt mouse,multilymphoid progenitor cell umbilical cord blood human,regulatory t (treg) cell liver human,9.52658455345313,9.35740061908521,9.2012120208126,8.92057210142931,8.76840868646285
53,paneth cell intestinal crypt mouse,enteroendocrine precursor cell intestinal crypt mouse,gonadal endothelial cell fetal gonad human,schwalie et al.nature.g2 adipose tissue mouse,plasmacytoid dendritic cell spleen mouse,8.98023262599397,8.68280308923834,8.57474598270795,8.49716852811679,8.49326417230174
54,paneth cell intestinal crypt mouse,enteroendocrine precursor cell intestinal crypt mouse,mitotic fetal germ cell fetal gonad human,monocyte fetal kidney human,regulatory t (treg) cell liver human,9.54357005281039,9.20902540795773,9.04671052459711,8.99585113080971,8.99262727676817
55,microglial cell brain mouse,multilymphoid progenitor cell umbilical cord blood human,monocyte fetal kidney human,monocyte spleen mouse,microglial cell embryonic prefrontal cortex human,9.42366307484041,9.28749865136797,8.94135231171448,8.9231132120543,8.7295648355459
56,cycling basal cell trachea mouse,paneth cell intestinal crypt mouse,monocyte fetal kidney human,schwalie et al.nature.g2 adipose tissue mouse,gonadal endothelial cell fetal gonad human,8.14590857580811,7.55381452991279,7.43357304924035,7.39371195754501,7.37719375123907
57,cycling basal cell trachea mouse,neuron brain mouse,neural progenitor cell embryonic prefrontal cortex human,multilymphoid progenitor cell umbilical cord blood human,paneth cell intestinal crypt mouse,9.8008290701037,8.77673580484504,8.73501147448997,8.62004248119286,8.58897457019676
58,paneth cell intestinal crypt mouse,enteroendocrine precursor cell intestinal crypt mouse,plasmacytoid dendritic cell spleen mouse,schwalie et al.nature.g2 adipose tissue mouse,leydig precursor cell fetal gonad human,8.97686715728339,8.67009203648878,8.47093761915809,8.44573815360159,8.41277574712569
